FigFam	description	X188.non.day.2	X190.non.day.2	X191.non.day.2	X196.non.day.2	X197.non.day.2	X200.non.day.2	X187.carb.day.2	X189.carb.day.2	X192.carb.day.2	X194.carb.day.2	X195.carb.day.2	X198.carb.day.2	Pvalues	Qvalues	fold_change	
FIG01859471_Phage_related_lysozyme_	FIG01859471	Phage_related_lysozyme_	0	0	0	0	0	0	574.6	244.6	21	0.8	7.7	204.2	5.03E-07	0.002169352	3509.666667
FIG00732845_COG0438:_Glycosyltransferase_	FIG00732845	COG0438:_Glycosyltransferase_	0.6	0	0	0	0	1.5	0	1058.8	0	0	0	0	0.000990112	0.053713336	504.1904762
FIG01652290_Deoxycytidylate_deaminase_	FIG01652290	Deoxycytidylate_deaminase_	0	0	0	0	0	1	0	455.7	0	0	0	1.3	0.000776794	0.050041426	457
FIG00938082_FIG00938083:_hypothetical_protein_	FIG00938082	FIG00938083:_hypothetical_protein_	0	0	0	0	0	0	111.7	13.4	0	4.8	1.3	1.3	0.000142934	0.028319137	441.6666667
FIG01089681_Serine/threonine_kinase_PKN9_	FIG01089681	Serine/threonine_kinase_PKN9_	0.3	0	0	0	0	0	0	124	0	1.6	0	0	0.000803935	0.050327183	418.6666667
FIG00648767_FIG00648768:_hypothetical_protein_	FIG00648767	FIG00648768:_hypothetical_protein_	0.6	0	0	0	0	0	101.8	107.2	0.4	0	0	10.7	0.000557507	0.045772895	366.8333333
FIG01404852_transferase_hexapeptide_repeat_	FIG01404852	transferase_hexapeptide_repeat_	0	0	0	0	0	0.5	89.8	57	0	0	0	1.3	0.000302637	0.038499019	296.2
FIG01958841_Phage_portal_(connector)_protein_	FIG01958841	Phage_portal_(connector)_protein_	0.3	0	0	0	0	0	43.9	43.6	0.8	0	0	0	0.000592464	0.045772895	294.3333333
"FIG00132602_Coproporphyrinogen_III_oxidase,_oxygen-independent_(EC_1.3.99.22),_divergent,_putative_"	FIG00132602	"Coproporphyrinogen_III_oxidase,_oxygen-independent_(EC_1.3.99.22),_divergent,_putative_"	0	0	0	0	0	0	35.9	0	0.8	0	50.3	0	0.000633024	0.045772895	290
"FIG01424434_ISSod11,_transposase_"	FIG01424434	"ISSod11,_transposase_"	0	0	0	0	0	0	0	13.4	0	65.2	0	0	0.001096003	0.055650741	262
FIG00512937_FIG00512939:_hypothetical_protein_	FIG00512937	FIG00512939:_hypothetical_protein_	0	0	0	0	0	0	0	10.1	2.3	57.3	5.2	0	0.000443747	0.043493396	249.6666667
"FIG00839266_Lytic_transglycosylase,_catalytic_"	FIG00839266	"Lytic_transglycosylase,_catalytic_"	0.3	0	0	0	0	0	27.9	40.2	0	0	0	5.4	0.000619043	0.045772895	245
FIG01597105_FIG00522412:_hypothetical_protein_	FIG01597105	FIG00522412:_hypothetical_protein_	0	0	0	0	0	0	4	10.1	2.3	28.6	25.8	1.3	0.000103626	0.025319868	240.3333333
FIG01630079_FIG00631705:_hypothetical_protein_	FIG01630079	FIG00631705:_hypothetical_protein_	0	0	0	0	0	0	4	57	0	1.6	0	5.4	0.000544717	0.045772895	226.6666667
FIG01309153_Phage_capsid_and_scaffold_	FIG01309153	Phage_capsid_and_scaffold_	0	0	0	0	0.5	0	0	110.6	0	0	0	0	0.001286289	0.05596609	221.2
"FIG00678768_NDP-hexose_2,3-dehydratase_"	FIG00678768	"NDP-hexose_2,3-dehydratase_"	0.3	0	0	0	0	0	39.9	10.1	0	2.4	2.6	0	0.000629124	0.045772895	183.3333333
FIG00526275_FIG00526279:_hypothetical_protein_	FIG00526275	FIG00526279:_hypothetical_protein_	0	0	0	0	0	0	0	16.8	1.2	34.2	0	0	0.001196819	0.055856044	174
FIG00602795_FIG00602798:_hypothetical_protein_	FIG00602795	FIG00602798:_hypothetical_protein_	1.4	0	0	0	0	0	0	0	0.4	23.1	212.9	0	0.001221196	0.05596609	168.8571429
FIG01226598_mobile_intron_protein_	FIG01226598	mobile_intron_protein_	0	0	2.7	0	0	0	440.9	3.4	0	0	0	0	0.001873415	0.060292413	164.5555556
FIG00645250_FIG00645252:_hypothetical_protein_	FIG00645250	FIG00645252:_hypothetical_protein_	0	0	0	0	0	0	29.9	13.4	0	0	0	5.4	0.001049494	0.054207412	162.3333333
FIG01483718_FIG01071402:_hypothetical_protein_	FIG01483718	FIG01071402:_hypothetical_protein_	0	0	0	0	0	0	0	0	44.3	1.6	0	0	0.002257526	0.061853183	153
FIG00137002_Energy_conserving_hydrogenase_Eha-associated_regulator_	FIG00137002	Energy_conserving_hydrogenase_Eha-associated_regulator_	0	0	0	0	0	0	0	0	0	42.2	0	2.7	0.002201396	0.061651332	149.6666667
FIG00633402_FIG00633406:_hypothetical_protein_	FIG00633402	FIG00633406:_hypothetical_protein_	0	0	0	0	0	0	33.9	10.1	0	0	0	0	0.001933684	0.060292413	146.6666667
FIG00577377_FIG00577378:_hypothetical_protein_	FIG00577377	FIG00577378:_hypothetical_protein_	0	0	0	0	0	0	18	6.7	1.6	0	12.9	4	0.000356243	0.039730921	144
FIG00673992_phage-related_protein_(tail_protein)_	FIG00673992	phage-related_protein_(tail_protein)_	0	0	0	0	0	0	0	26.8	0	15.1	0	0	0.001999368	0.060292413	139.6666667
FIG00631093_FIG00631096:_hypothetical_protein_	FIG00631093	FIG00631096:_hypothetical_protein_	0	0	0	0	0	0	0	33.5	0	1.6	0	4	0.001611818	0.058670896	130.3333333
FIG01413562_MocB-like_protein_	FIG01413562	MocB-like_protein_	0	0	0	0	0	0	16	20.1	0.4	0.8	0	0	0.001635677	0.058694375	124.3333333
FIG00631077_ORF33_	FIG00631077	ORF33_	7	0	4	0	0	2.4	0	1621.8	3.9	0	9.1	20.2	0.00094648	0.052000416	123.5074627
FIG00820829_HNH_endonuclease_domain_protein_	FIG00820829	HNH_endonuclease_domain_protein_	0.3	0	0	0	0	0	0	36.9	0	0	0	0	0.003680308	0.065861584	123
FIG01301392_DNA-directed_RNA_polymerase_I_second_largest_subunit_(EC_2.7.7.6)_	FIG01301392	DNA-directed_RNA_polymerase_I_second_largest_subunit_(EC_2.7.7.6)_	0	0	0	0	0	0	31.9	0	0.8	0	0	2.7	0.001942911	0.060292413	118
"FIG01702597_Cro-like_protein,_phage_associated_"	FIG01702597	"Cro-like_protein,_phage_associated_"	0.6	0	0	0	0	0.5	0	120.6	0.4	2.4	0	0	0.003551992	0.065584537	112.1818182
FIG01554405_FIG00351336:_hypothetical_protein_	FIG01554405	FIG00351336:_hypothetical_protein_	0.3	0	0	0	0	0	14	16.8	0	0	0	2.7	0.001557831	0.058670896	111.6666667
FIG01103965_ABC_transporter_sugar_binding_protein_	FIG01103965	ABC_transporter_sugar_binding_protein_	0	0	0	0	0	0	0	0	0	2.4	0	28.2	0.003162888	0.064735222	102
"FIG01230417_Thioredoxin,_phage-associated_"	FIG01230417	"Thioredoxin,_phage-associated_"	0	0	2.7	0	0	0	83.8	184.3	0	0	0	1.3	0.002165815	0.06105132	99.77777778
FIG01031812_FIG01031813:_hypothetical_protein_	FIG01031812	FIG01031813:_hypothetical_protein_	0.3	0	0	0	0	0	18	10.1	0	0.8	0	0	0.002048025	0.060292413	96.33333333
FIG00522866_FIG00522868:_hypothetical_protein_	FIG00522866	FIG00522868:_hypothetical_protein_	0	0	0	0	0	0	0	26.8	0	0	1.3	0	0.003541803	0.065584537	93.66666667
FIG01344602_FIG00348669:_hypothetical_protein_	FIG01344602	FIG00348669:_hypothetical_protein_	0.3	0	0	0	0	0	0	16.8	2.7	5.6	1.3	0	0.001399265	0.057318345	88
FIG01305877_Putative_transcriptional_regulator_of_sorbose_uptake_and_utilization_genes_	FIG01305877	Putative_transcriptional_regulator_of_sorbose_uptake_and_utilization_genes_	0	0	0	0	0	0	21.9	0	0	4	0	0	0.003234732	0.065497364	86.33333333
"FIG00604061_tail_fiber_protein,_putative_"	FIG00604061	"tail_fiber_protein,_putative_"	0	0	0	0	0	0	23.9	0	0.4	0	0	0	0.005036936	0.070140243	81
"FIG00026595_ABC_transporter_membrane-spanning_permease,_Pep_export,_Vex3_"	FIG00026595	"ABC_transporter_membrane-spanning_permease,_Pep_export,_Vex3_"	0	0	0	0	0	0	0	10.1	0.4	12	0	1.3	0.002452324	0.062886366	79.33333333
FIG01031994_FIG01031995:_hypothetical_protein_	FIG01031994	FIG01031995:_hypothetical_protein_	0	0	0	0	0	0	0	0	0	19.9	0	2.7	0.003648361	0.065584537	75.33333333
FIG01802835_FIG00589686:_hypothetical_protein_	FIG01802835	FIG00589686:_hypothetical_protein_	0	0	0	0	0	0	6	6.7	1.2	0	2.6	5.4	0.000850699	0.05115576	73
FIG00001798_Co-activator_of_prophage_gene_expression_IbrA_	FIG00001798	Co-activator_of_prophage_gene_expression_IbrA_	0	0	0	0	1	0	0	70.4	0	0	2.6	0	0.007005472	0.076154221	73
"FIG01425477_prophage_LambdaSa2,_site-specific_recombinase,_phage_integrase_family_"	FIG01425477	"prophage_LambdaSa2,_site-specific_recombinase,_phage_integrase_family_"	0	0	0	0	0	0	0	20.1	0	0	1.3	0	0.004286578	0.06809355	71.33333333
FIG01877843_putative_scaffolding_protein_	FIG01877843	putative_scaffolding_protein_	0	0	0	0	0	0	0	20.1	0.4	0	0	0	0.005711761	0.071397105	68.33333333
"FIG00025493_Hypothetical_protein,_Lmo2276_homolog_"	FIG00025493	"Hypothetical_protein,_Lmo2276_homolog_"	5.6	0	0	0	0	0	363.1	13.4	0.4	0	0	0	0.004909407	0.069385527	67.30357143
FIG01439591_chaperone_protein_DnaJ_	FIG01439591	chaperone_protein_DnaJ_	0	0	0	0	0	2.4	0	147.4	0	1.6	6.5	2.7	0.002513252	0.062886366	65.91666667
FIG00017860_Phage_T7_exclusion_protein_	FIG00017860	Phage_T7_exclusion_protein_	3.1	0	0	0	0	0	87.8	110.6	0	0	0	1.3	0.003380575	0.065584537	64.41935484
"FIG01851635_conserved_hypothetical_protein,_membrane_"	FIG01851635	"conserved_hypothetical_protein,_membrane_"	0	0	0	0	1	0	0	3.4	0	60.4	0	0	0.008694307	0.085708119	63.8
FIG00544080_Putative_CBS_domain_containing_protein_	FIG00544080	Putative_CBS_domain_containing_protein_	2.8	0	0	9	0	1.5	273.3	30.2	21.4	9.5	465.7	8.1	0.000263231	0.035802221	60.76691729
"FIG01500485_cobS_protein,_putative_"	FIG01500485	"cobS_protein,_putative_"	0.3	0	1.3	9	2.4	1	4	810.9	33.8	0	0	0	0.002568112	0.063418626	60.62142857
FIG01535056_Methyltransferase_FkbM_	FIG01535056	Methyltransferase_FkbM_	0	0	0	0	0	0	0	16.8	0.8	0	0	0	0.004707667	0.068863639	58.66666667
FIG00632399_FIG00632402:_hypothetical_protein_	FIG00632399	FIG00632402:_hypothetical_protein_	0	0	0	0	0	0	0	16.8	0	0.8	0	0	0.004707574	0.068863639	58.66666667
FIG01055173_Nitrogenase_FeMo-cofactor_scaffold_and_assembly_protein_NifE_	FIG01055173	Nitrogenase_FeMo-cofactor_scaffold_and_assembly_protein_NifE_	0	0	0	0	0	0	0	10.1	0	7.2	0	0	0.004127435	0.067604578	57.66666667
"FIG01508572_transposase,_IS605_OrfB_family_"	FIG01508572	"transposase,_IS605_OrfB_family_"	25.1	6.8	5.3	3	0	2.4	2146.8	261.4	4.3	0	9	8.1	0.001201522	0.055856044	57.03286385
FIG01949684_Type_IV_pilus_biogenesis_protein_PilO_	FIG01949684	Type_IV_pilus_biogenesis_protein_PilO_	1.1	0	0	0	0	1.5	65.9	57	1.2	0	5.2	17.5	0.001676233	0.059256998	56.46153846
FIG01499825_conserved_hypothetical_protein_with_a_conserved_domain_	FIG01499825	conserved_hypothetical_protein_with_a_conserved_domain_	0	0	0	0	0	0	0	6.7	7	3.2	0	0	0.002701988	0.063418626	56.33333333
FIG01412404_DNA-binding_protein;_possible_transcriptional_regulator_	FIG01412404	DNA-binding_protein;_possible_transcriptional_regulator_	0	0	0	0	0	0	0	10.1	0	6.4	0	0	0.004316095	0.068273121	55
"FIG01233775_Phage_terminase,_large_subunit_[SA_bacteriophages_11,_Mu50B]_"	FIG01233775	"Phage_terminase,_large_subunit_[SA_bacteriophages_11,_Mu50B]_"	0	0	0	21	0	2	4	1223	21.4	8.7	0	0	0.004409031	0.068772233	54.65652174
FIG00935511_FIG00935512:_hypothetical_protein_	FIG00935511	FIG00935512:_hypothetical_protein_	0	1.4	0	0	0	0	0	0	73.8	2.4	0	0	0.007050715	0.076403836	54.42857143
FIG01370320_voltage-gated_potassium_channel_beta_subunit_	FIG01370320	voltage-gated_potassium_channel_beta_subunit_	0	0	0	0	0	0	0	0	0	8	1.3	6.7	0.003141245	0.064735222	53.33333333
FIG01675551_Nucleotide_sugar_transaminase_	FIG01675551	Nucleotide_sugar_transaminase_	0	0	0	0	0	0	0	0	0	9.5	6.5	0	0.004324395	0.068273121	53.33333333
FIG01307565_Replication_protein_	FIG01307565	Replication_protein_	0.3	0	0	0	0	0	0	6.8	0	2.4	2.6	4	0.001818196	0.060292413	52.66666667
FIG01148451_FIG01148453:_hypothetical_protein_	FIG01148451	FIG01148453:_hypothetical_protein_	0	0	0	0	0	0	0	13.4	0	0.8	0	1.3	0.003875186	0.066982185	51.66666667
FIG00899250_FIG00938698:_hypothetical_protein_	FIG00899250	FIG00938698:_hypothetical_protein_	0	0	0	0	0	0	0	10.1	0	0	5.2	0	0.004535299	0.068802866	51
FIG00623183_FIG00623195:_hypothetical_protein_	FIG00623183	FIG00623195:_hypothetical_protein_	0	0	0	36.1	1.5	0	0	1819.5	16.7	0	0	0	0.010998982	0.099136965	48.83510638
